Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17848997,The Dark of Deep Below (The Adventures of the Princess and Mr. Whiffle #2),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""""","=""9781596066205""",3,4.32,Subterranean Press,Hardcover,232,2013,2013,2014/01/01,2014/12/08,,,read,,,,1,,,0,,,,,
13503109,This Is How You Lose Her,Junot Díaz,"Díaz, Junot",,"=""1594487367""","=""9781594487361""",4,3.75,Riverhead Books,Hardcover,217,2012,2010,,2019/04/11,,,read,,,,1,,,0,,,,,
11774272,"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0356500764""","=""9780356500768""",0,3.91,Hachette Book Group,Paperback,418,2012,2012,,2020/01/30,to-read,to-read (#267),to-read,,,,0,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,3.98,Penguin,Hardcover,534,2012,2012,,2014/11/11,"currently-reading, abandoned","currently-reading (#2), abandoned (#2)",currently-reading,,,,1,,,0,,,,,
28594830,"Goldenhand (Abhorsen, #5)",Garth Nix,"Nix, Garth",,"=""0061561584""","=""9780061561580""",0,4.08,HarperCollins,Hardcover,344,2016,2016,,2020/01/22,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
20662728,"Clariel (Abhorsen, #4)",Garth Nix,"Nix, Garth",,"=""006156155X""","=""9780061561559""",4,3.82,HarperCollins,Hardcover,382,2014,2014,2020/01/22,2020/01/07,,,read,,,,1,,,0,,,,,
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",0,4.14,Vintage International,Paperback,467,2006,2002,,2020/01/08,to-read,to-read (#266),to-read,,,,0,,,0,,,,,
23397854,Nicholas Sayre and the Creature in the Case (Abhorsen #3.5),Garth Nix,"Nix, Garth",,"=""""","=""""",4,3.90,Allen & Unwin,Kindle Edition,64,2014,2005,2020/01/07,2020/01/07,,,read,,,,1,,,0,,,,,
334643,"Abhorsen (Abhorsen, #3)",Garth Nix,"Nix, Garth",,"=""0060278250""","=""9780060278250""",4,4.22,HarperCollins,Hardcover,358,2003,2003,2020/01/07,2019/12/29,,,read,,,,1,,,0,,,,,
47624,"Lirael (Abhorsen, #2)",Garth Nix,"Nix, Garth",,"=""0060590165""","=""9780060590161""",4,4.29,Eos,Paperback,464,2015,2001,,2019/12/29,,,read,,,,1,,,0,,,,,
518848,"Sabriel (Abhorsen,  #1)",Garth Nix,"Nix, Garth",,"=""0064471837""","=""9780064471831""",3,4.17,Harper Collins,Mass Market Paperback,491,1996,1995,2019/12/11,2019/06/10,,,read,,,,1,,,0,,,,,
17650,The Robber Bride,Margaret Atwood,"Atwood, Margaret",,"=""0385491034""","=""9780385491037""",0,3.83,Anchor,Paperback,528,1998,1993,,2019/12/07,to-read,to-read (#265),to-read,,,,0,,,0,,,,,
19628703,The Humboldt Current: Nineteenth-Century Exploration and the Roots of American Environmentalism,Aaron Sachs,"Sachs, Aaron",,"=""""","=""""",0,3.99,Penguin Books,Kindle Edition,496,2007,2006,,2017/01/23,to-read,to-read (#264),to-read,,,,0,,,0,,,,,
13598307,The Art of Fermentation: An in-Depth Exploration of Essential Concepts and Processes from Around the World,Sandor Ellix Katz,"Katz, Sandor Ellix",,"=""160358286X""","=""9781603582865""",0,4.42,Chelsea Green Publishing,Hardcover,528,2012,2012,,2018/07/25,to-read,to-read (#263),to-read,,,,0,,,0,,,,,
4982,The Sirens of Titan,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""1857988841""","=""9781857988840""",4,4.16,Gollancz,Paperback,224,1999,1959,2019/12/06,2019/04/28,,,read,,,,1,,,0,,,,,
48408593,"Far Sector (Far Sector, #1 of 12)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.33,DC Comics,Paperback,,2019,2019,,2019/12/04,to-read,to-read (#262),to-read,,,,0,,,0,,,,,
