Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
47931,The Four Seasons of Marriage,Gary Chapman,"Chapman, Gary",,"=""1414300204""","=""9781414300207""",0,3.94,Tyndale House Publishers,Hardcover,240,2005,2005,,2019/12/12,,,read,,,,1,,,0,,,,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",4,3.96,Harper,ebook,224,2016,2016,2019/11/26,2019/11/24,,,read,,,,1,,,0,,,,,
25614523,Originals: How Non-Conformists Move the World,Adam M. Grant,"Grant, Adam M.",,"=""0525429565""","=""9780525429562""",5,3.96,Viking,Hardcover,326,2016,2016,2019/11/24,2018/02/05,,,read,,,,1,,,0,,,,,
56627,Stumbling on Happiness,Daniel Todd Gilbert,"Gilbert, Daniel Todd",,"=""1400077427""","=""9781400077427""",3,3.83,Vintage,Paperback,263,2007,2006,2019/11/08,2019/07/15,,,read,,,,1,,,0,,,,,
1858013,The Reason for God: Belief in an Age of Skepticism,Timothy J. Keller,"Keller, Timothy J.",,"=""0525950494""","=""9780525950493""",0,4.17,Dutton,Hardcover,293,2008,2007,,2014/10/14,,,read,,,,1,,,0,,,,,
6570502,Switch: How to Change Things When Change Is Hard,Chip Heath,"Heath, Chip",Dan Heath,"=""0385528752""","=""9780385528757""",3,4.04,Currency,Hardcover,305,2010,2010,2019/07/25,2019/07/15,,,read,,,,1,,,0,,,,,
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""""","=""""",4,4.07,Portfolio,Kindle Edition,302,2019,2019,2019/07/15,2019/07/11,,,read,,,,1,,,0,,,,,
34346848,"The Last Girl: My Story of Captivity, and My Fight Against the Islamic State",Nadia Murad,"Murad, Nadia",,"=""0525493212""","=""9780525493211""",5,4.51,Random House Audio Publishing Group,Audio CD,,2017,2017,2019/07/09,2019/03/25,,,read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.20,Grand Central Publishing,Hardcover,296,2016,2016,2019/07/07,2018/02/19,,,read,,,,1,,,0,,,,,
127885,"It's Not My Fault: The No-Excuses Plan for Overcoming the Effects of People, Circumstances or DNA and Enjoying God's Best",Henry Cloud,"Cloud, Henry",John  Townsend,"=""1591454735""","=""9781591454731""",0,4.14,Integrity Publishers,Hardcover,272,2007,2007,,2019/06/12,,,read,,,,1,,,0,,,,,
40591267,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,"Hollis, Rachel",,"=""1400209609""","=""9781400209606""",3,3.99,HarperCollins Leadership,Hardcover,240,2019,2019,,2019/06/01,,,read,,,,1,,,0,,,,,
35542451,"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,"Hollis, Rachel",,"=""1400201667""","=""9781400201662""",3,3.75,Thomas Nelson,ebook,240,2018,2018,,2019/05/06,,,read,,,,1,,,0,,,,,
9742,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"Obama, Barack",,"=""0307237699""","=""9780307237699""",4,3.75,Crown,Hardcover,375,2006,2006,2019/05/05,2014/10/14,,,read,,,,2,,,0,,,,,
38447,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.11,Anchor Books,Paperback,312,1998,1985,,2019/04/16,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
18406654,Managing Time (HBR 20-Minute Manager Series),Harvard Business School Press,"Press, Harvard Business School",,"=""1625272243""","=""9781625272249""",0,3.56,Harvard Business Review Press,Paperback,112,2014,2006,,2019/04/15,,,read,,,,1,,,0,,,,,
127883,9 Things You Simply Must Do To Succeed in Love and Life,Henry Cloud,"Cloud, Henry",,"=""1591450098""","=""9781591450092""",0,4.13,Integrity Publishers,Hardcover,246,2004,2004,,2019/04/08,,,read,,,,1,,,0,,,,,
38744839,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",5,4.57,Crown,ebook,599,2018,2018,2019/03/24,2018/12/18,,,read,,,,1,,,0,,,,,
35540774,"Saved from Success: How God Can Free You from Culture's Distortion of Family, Work, and the Good Life",Dale Partridge,"Partridge, Dale",,"=""0718093453""","=""9780718093457""",0,4.28,Thomas Nelson,ebook,160,2018,,2019/03/11,2019/03/11,,,read,,,,1,,,0,,,,,
18667945,#GIRLBOSS,Sophia Amoruso,"Amoruso, Sophia",,"=""039916927X""","=""9780399169274""",3,3.68,Portfolio,Hardcover,256,2014,2014,2019/03/11,2019/03/11,,,read,,,,1,,,0,,,,,
39999461,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,"Grisel, Judith",,"=""0385542844""","=""9780385542845""",3,4.07,Doubleday Books,Hardcover,256,2019,2019,2019/03/10,2019/03/07,,,read,,,,1,,,0,,,,,
3206011,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,"Chan, Francis","Danae Yankoski, Chris Tomlin","=""1434768511""","=""9781434768513""",0,4.15,David C. Cook,Paperback,187,2008,2008,,2018/10/01,,,read,,,,2,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.34,Avery,Kindle Edition,319,2018,2018,,2018/12/18,,,read,,,,1,,,0,,,,,
34964998,When They Call You a Terrorist: A Black Lives Matter Memoir,Patrisse Khan-Cullors,"Khan-Cullors, Patrisse","Asha Bandele, Angela Y. Davis","=""1250171083""","=""9781250171085""",0,4.50,St. Martin's Press,Hardcover,257,2018,2018,,2018/12/18,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
34974310,The Last Black Unicorn,Tiffany Haddish,"Haddish, Tiffany",,"=""1501181823""","=""9781501181825""",0,3.88,Gallery Books,Hardcover,288,2017,2017,,2018/12/18,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
36341620,Calypso,David Sedaris,"Sedaris, David",,"=""0316392383""","=""9780316392389""",0,4.17,"Little, Brown and Company",Hardcover,261,2018,2018,,2018/12/18,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
32075671,The Hate U Give,Angie Thomas,"Thomas, Angie",,"=""0062498533""","=""9780062498533""",0,4.52,Balzer + Bray,Hardcover,464,2017,2017,,2018/12/18,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
38186611,An Absolutely Remarkable Thing,Hank Green,"Green, Hank",,"=""1524743445""","=""9781524743444""",0,4.03,Dutton,Hardcover,343,2018,2018,,2018/12/18,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
